Total de combinacoes no grid: 162
[1/162] cv_auc=0.857809 +/- 0.003539 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[2/162] cv_auc=0.857079 +/- 0.003126 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}
[3/162] cv_auc=0.858099 +/- 0.002546 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[4/162] cv_auc=0.857165 +/- 0.002673 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}
[5/162] cv_auc=0.858907 +/- 0.002922 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[6/162] cv_auc=0.858273 +/- 0.002577 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}
[7/162] cv_auc=0.858051 +/- 0.003049 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[8/162] cv_auc=0.857124 +/- 0.002744 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}
[9/162] cv_auc=0.858601 +/- 0.002882 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[10/162] cv_auc=0.857395 +/- 0.003031 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}
[11/162] cv_auc=0.858907 +/- 0.002922 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[12/162] cv_auc=0.858273 +/- 0.002577 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}
