decil,n,sobrev_esperada_modelo,taxa_evento_esperada,sobrev_observada_km,taxa_evento_observada,razao_E_O
1,1469,1.0,0.0,0.9993,0.0007,4296.9686
2,1469,1.0,0.0,0.9979,0.0021,420.7351
3,1469,1.0,0.0,0.9936,0.0064,184.6215
4,1469,0.9998,0.0002,0.9902,0.0098,56.9834
5,1470,0.9993,0.0007,0.9742,0.0258,34.4074
6,1469,0.9971,0.0029,0.9476,0.0524,17.9771
7,1469,0.99,0.01,0.9412,0.0588,5.8732
8,1469,0.9686,0.0314,0.892,0.108,3.4391
9,1469,0.9067,0.0933,0.7917,0.2083,2.2319
10,1470,0.5167,0.4833,0.5709,0.4291,0.8878
