decil,n,sobrev_esperada_modelo,taxa_evento_esperada,sobrev_observada_km,taxa_evento_observada,razao_E_O
1,1469,1.0,0.0,0.9993,0.0007,70077.0848
2,1469,1.0,0.0,0.9971,0.0029,122511.4572
3,1469,1.0,0.0,0.991,0.009,29609.0761
4,1469,1.0,0.0,0.986,0.014,4423.5831
5,1470,1.0,0.0,0.9777,0.0223,814.6553
6,1469,0.9998,0.0002,0.9636,0.0364,220.6827
7,1469,0.9994,0.0006,0.9403,0.0597,92.6549
8,1469,0.9978,0.0022,0.9008,0.0992,44.5368
9,1469,0.9921,0.0079,0.7854,0.2146,27.3093
10,1470,0.7674,0.2326,0.5566,0.4434,1.9061
