threshold_pt,net_benefit_modelo,net_benefit_tratar_todos,net_benefit_nao_tratar
0.01,0.048646,0.079689,0.0
0.062,0.027872,0.029105,0.0
0.113,0.022476,-0.027362,0.0
0.165,0.019705,-0.090804,0.0
0.216,0.01855,-0.162596,0.0
0.268,0.016795,-0.244504,0.0
0.319,0.015916,-0.338829,0.0
0.371,0.015101,-0.448624,0.0
0.423,0.014206,-0.578036,0.0
0.474,0.013724,-0.732838,0.0
0.526,0.013369,-0.921316,0.0
0.577,0.012754,-1.155797,0.0
0.629,0.01154,-1.455469,0.0
0.681,0.01003,-1.851903,0.0
0.732,0.008845,-2.400993,0.0
0.784,0.007559,-3.211935,0.0
0.835,0.005272,-4.530688,0.0
0.887,0.001458,-7.051653,0.0
0.938,-0.004208,-13.795772,0.0
0.99,-0.076232,-90.110809,0.0
