threshold_pt,net_benefit_modelo,net_benefit_tratar_todos,net_benefit_nao_tratar
0.01,0.0,-0.009413,0.0
0.062,0.0,-0.064894,0.0
0.113,0.0,-0.126829,0.0
0.165,0.0,-0.196413,0.0
0.216,0.0,-0.275156,0.0
0.268,0.0,-0.364994,0.0
0.319,0.0,-0.468451,0.0
0.371,0.0,-0.588876,0.0
0.423,0.0,-0.730817,0.0
0.474,0.0,-0.900607,0.0
0.526,0.0,-1.107333,0.0
0.577,0.0,-1.364517,0.0
0.629,0.0,-1.693201,0.0
0.681,0.0,-2.128018,0.0
0.732,0.0,-2.730269,0.0
0.784,0.0,-3.619725,0.0
0.835,0.0,-5.066156,0.0
0.887,0.0,-7.831194,0.0
0.938,0.0,-15.228263,0.0
0.99,0.0,-98.931936,0.0
