feature,mean_abs_shap
cat_localizacao_primaria_te,0.38872683
t_tnm,0.24645896
idade,0.20743906
m_tnm,0.19566093
uf_procedencia_regiao_Sul,0.16484274
uf_hospital_regiao_Sudeste,0.12260229
primeiro_tratamento_hospital_2,0.115333095
t_ptnm,0.1143787
tempo_ate_tratamento,0.11239441
n_ptnm,0.1081376
tipo_histologico_tumor_te,0.102613695
uf_hospital_regiao_Sul,0.08807532
exames_relevantes_diagnostico_5,0.08613498
mais_de_um_tumor_primario,0.08141257
uf_procedencia_regiao_Sudeste,0.06687578
tempo_ate_consulta,0.05778278
historico_tabagismo_clinico_ex,0.056588233
historico_alcoolismo_clinico_ex,0.053076744
primeiro_tratamento_hospital_4,0.03844895
n_tnm,0.036918912
m_ptnm,0.032245502
primeiro_tratamento_hospital_8,0.02135168
ocupacao_principal_gap,0.017587697
tipo_caso,0.017031379
diagnostico_tratamento_anteriores_3,0.013235786
escolaridade,0.012524105
origem_encaminhamento_1,0.0124300085
uf_procedencia_regiao_Norte,0.009423407
primeiro_tratamento_hospital_3,0.0075020585
uf_procedencia_regiao_Nordeste,0.0067722304
subcat_localizacao_primaria_te,0.0061345827
uf_hospital_regiao_Nordeste,0.0049444307
exames_relevantes_diagnostico_3,0.0048738336
exames_relevantes_diagnostico_1,0.0031143911
sexo,0.003046593
historico_tabagismo_clinico_atual,0.0030220204
exames_relevantes_diagnostico_4,0.003006098
historico_alcoolismo_clinico_nunca,0.0029316307
origem_encaminhamento_2,0.002787183
uf_hospital_regiao_Norte,0.0026312494
historico_familiar_cancer,0.0025917494
uf_hospital_regiao_Centro-Oeste,0.0024226294
exames_relevantes_diagnostico_2,0.0022710415
historico_alcoolismo_info_ausente,0.0017102995
origem_encaminhamento_3,0.0014606417
raca_cor_2,0.0014444233
diagnostico_tratamento_anteriores_2,0.00086798286
raca_cor_1,0.0007879295
base_diagnostico_mais_importante_5,0.0006820349
historico_tabagismo_clinico_nunca,0.00067795126
uf_procedencia_regiao_Centro-Oeste,0.0006563611
historico_alcoolismo_clinico_atual,0.0005753112
raca_cor_4,0.00047246137
primeiro_tratamento_hospital_5,0.00040483117
base_diagnostico_mais_importante_3,0.00033507787
historico_tabagismo_info_ausente,0.0003298616
base_diagnostico_mais_importante_6,0.00031947438
primeiro_tratamento_hospital_7,0.00030951138
historico_alcoolismo_clinico_None,0.00025289558
raca_cor_3,0.00023243771
raca_cor_5,0.00021841862
diagnostico_tratamento_anteriores_1,0.0001432766
base_diagnostico_mais_importante_7,0.000113243674
base_diagnostico_microscopica_2,0.000103016326
base_diagnostico_microscopica_3,5.380253e-05
comportamento_histologico_tumor,4.6420915e-05
primeiro_tratamento_hospital_1,3.0559637e-05
diagnostico_tratamento_anteriores_4,2.4934016e-05
base_diagnostico_mais_importante_4,1.742598e-05
historico_tabagismo_clinico_None,1.0682259e-05
base_diagnostico_mais_importante_1,8.524863e-06
base_diagnostico_mais_importante_2,2.701054e-06
exames_relevantes_diagnostico_8,0.0
origem_encaminhamento_8,0.0
base_diagnostico_microscopica_1,0.0
primeiro_tratamento_hospital_6,0.0
