feature,mean_abs_shap
tipo_histologico_tumor_te,0.25044474
cat_localizacao_primaria_te,0.09796607
idade,0.047691196
comportamento_histologico_tumor,0.011053599
uf_procedencia_regiao_Sul,0.009284079
uf_hospital_regiao_Sul,0.009255049
tempo_ate_tratamento,0.009031219
primeiro_tratamento_hospital_2,0.0075473078
t_tnm,0.0058287536
ocupacao_principal_gap,0.0056601963
primeiro_tratamento_hospital_5,0.005230795
uf_hospital_regiao_Norte,0.0043855547
t_ptnm,0.0039708046
tempo_ate_consulta,0.0037452655
uf_hospital_regiao_Nordeste,0.0029158113
mais_de_um_tumor_primario,0.0028780245
m_tnm,0.002257933
uf_hospital_regiao_Sudeste,0.0022361695
sexo,0.0021229486
uf_procedencia_regiao_Nordeste,0.0021105967
historico_tabagismo_clinico_atual,0.0016987395
uf_procedencia_regiao_Sudeste,0.0015808665
uf_procedencia_regiao_Norte,0.0014463332
raca_cor_4,0.001429068
historico_tabagismo_clinico_nunca,0.0011476744
raca_cor_1,0.0010778549
escolaridade,0.001068967
subcat_localizacao_primaria_te,0.0009944426
m_ptnm,0.00075948884
exames_relevantes_diagnostico_5,0.0006884521
historico_alcoolismo_clinico_nunca,0.00046022047
tipo_caso,0.0003882463
primeiro_tratamento_hospital_4,0.00033307553
historico_alcoolismo_clinico_ex,0.00030796052
historico_tabagismo_clinico_ex,0.000281519
n_tnm,0.00027293403
primeiro_tratamento_hospital_3,0.00023948438
primeiro_tratamento_hospital_7,0.0002176644
diagnostico_tratamento_anteriores_3,0.00020689957
historico_familiar_cancer,0.00019909494
exames_relevantes_diagnostico_4,0.00017795565
n_ptnm,0.00012909783
diagnostico_tratamento_anteriores_2,0.00010341679
historico_alcoolismo_info_ausente,6.8912675e-05
origem_encaminhamento_1,6.420161e-05
base_diagnostico_microscopica_3,4.4051623e-05
origem_encaminhamento_2,2.7164233e-05
origem_encaminhamento_3,0.0
historico_tabagismo_clinico_None,0.0
historico_alcoolismo_clinico_atual,0.0
uf_hospital_regiao_Centro-Oeste,0.0
historico_alcoolismo_clinico_None,0.0
raca_cor_5,0.0
raca_cor_3,0.0
raca_cor_2,0.0
exames_relevantes_diagnostico_3,0.0
exames_relevantes_diagnostico_1,0.0
exames_relevantes_diagnostico_2,0.0
origem_encaminhamento_8,0.0
exames_relevantes_diagnostico_8,0.0
base_diagnostico_mais_importante_2,0.0
base_diagnostico_mais_importante_3,0.0
base_diagnostico_mais_importante_5,0.0
base_diagnostico_mais_importante_4,0.0
diagnostico_tratamento_anteriores_1,0.0
diagnostico_tratamento_anteriores_4,0.0
base_diagnostico_mais_importante_1,0.0
uf_procedencia_regiao_Centro-Oeste,0.0
base_diagnostico_microscopica_2,0.0
base_diagnostico_microscopica_1,0.0
base_diagnostico_mais_importante_7,0.0
base_diagnostico_mais_importante_6,0.0
primeiro_tratamento_hospital_1,0.0
historico_tabagismo_info_ausente,0.0
primeiro_tratamento_hospital_6,0.0
primeiro_tratamento_hospital_8,0.0
razao_nao_tratamento_hospital_1,0.0
razao_nao_tratamento_hospital_2,0.0
razao_nao_tratamento_hospital_3,0.0
razao_nao_tratamento_hospital_4,0.0
razao_nao_tratamento_hospital_5,0.0
razao_nao_tratamento_hospital_6,0.0
razao_nao_tratamento_hospital_7,0.0
razao_nao_tratamento_hospital_8,0.0
